id,phone,street,email,region,country,postalZip
1,1898687619,Ap #216-3871 Mi St.,Raipur,Chhattisgarh,India,291511
2,2656838048,849-7422 Est Avenue,Beawar,Rajasthan,India,264400
3,4461463248,Ap #105-3258 Ullamcorper. Av.,Shimla,Himachal Pradesh,India,223132
4,8355484541,"696-3958 Lorem, St.",Gangtok,Sikkim,India,585872
5,6288577745,1092 Integer Road,Srinagar,Jammu and Kashmir,India,830230
6,7668776558,"Ap #152-3179 Ornare, Rd.",Shimla,Himachal Pradesh,India,431261
7,0558660892,545-8143 Vivamus Rd.,Rajahmundry,Andhra Pradesh,India,683654
8,0478551663,297-1837 Vestibulum Avenue,Dibrugarh,Assam,India,772047
9,6629361638,769-7961 Suspendisse Street,Trivandrum,Kerala,India,911862
10,1855083578,368-1616 Enim Av.,Malegaon,Maharastra,India,704859
11,4975962596,"P.O. Box 315, 1089 Nullam Avenue",Dindigul,Tamil Nadu,India,877376
12,2349973607,Ap #925-4707 Cursus Street,Shillong,Meghalaya,India,853151
13,6112345512,3144 Integer Road,Kavaratti,Lakshadweep,India,212196
14,7636744683,Ap #880-5886 Per Ave,Amritsar,Punjab,India,616484
15,3447215367,992-9887 Odio Street,Gurgaon,Haryana,India,252784
16,9610798435,803-1765 Tincidunt St.,Damoh,Madhya Pradesh,India,353852
17,8252586187,"618-2414 Purus, St.",Sambalpur,Odisha,India,595253
18,7179255271,858-4952 Neque. Street,Port Blair,Andaman and Nicobar Islands,India,723284
19,4237271686,Ap #618-265 Ultrices St.,Silvassa,Dadra and Nagar Haveli,India,523765
20,4762271165,Ap #357-4114 Mollis Av.,Avadi,Tamil Nadu,India,338657
21,8721214645,Ap #138-5113 Mi Rd.,Champdani,West Bengal,India,868674
22,1871853081,"P.O. Box 492, 8377 Euismod Rd.",Malkajgiri,Andhra Pradesh,India,228692
23,3637768204,"P.O. Box 520, 3488 Imperdiet Av.",Bhilai,Chhattisgarh,India,486211
24,8135935886,249-8046 Gravida. Av.,Mangalore,Karnataka,India,457438
25,3477872947,610-5011 Sollicitudin Road,Panjim,Goa,India,721311
26,0405773682,"Ap #872-2573 A, Street",Durg,Chhattisgarh,India,912912
27,0274281822,"P.O. Box 451, 7837 Tellus Av.",Shivapuri,Madhya Pradesh,India,786865
28,6866913838,6465 Turpis Street,Bhimavaram,Andhra Pradesh,India,636764
29,6466611420,980-247 Adipiscing Ave,Nagarcoil,Tamil Nadu,India,515188
30,0164187461,"Ap #316-395 Elit, Ave",Delhi,Delhi,India,361858
31,2957375475,Ap #952-7406 Congue Avenue,Haridwar,Uttarakhand,India,500015
32,2733387613,Ap #615-1182 Sed Rd.,Agartala,Tripura,India,973054
33,5418839178,273-3928 Sed St.,Dibrugarh,Assam,India,717197
34,7705212125,1370 Magna Ave,Kavaratti,Lakshadweep,India,557666
35,3195444523,282 Justo St.,Jammu,Jammu and Kashmir,India,431945
36,7536844707,781-3797 Pharetra Rd.,Kohima,Nagaland,India,476256
37,2670708327,490-7517 Dignissim Rd.,Guwahati,Assam,India,524382
38,3726314815,"P.O. Box 285, 6718 Eu, Av.",Thalassery,Kerala,India,803470
39,7130946683,Ap #303-6645 Magnis Road,Kavaratti,Lakshadweep,India,476777
